FID,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape__Area,Shape__Length
381,20,03150,02394021,2003150,Atwood,Atwood city,25,C1,N,N,G4110,A,2752920,158475,+39.8098997,-101.0418926,4939865.4765625,14003.8451187645
382,20,43750,02395064,2043750,McDonald,McDonald city,25,C1,N,N,G4110,A,567668,0,+39.7847464,-101.3701943,962484.2890625,5319.08567692977
383,20,11450,02393777,2011450,Cedar Vale,Cedar Vale city,25,C1,N,N,G4110,A,1952832,2095,+37.1051346,-096.5026231,3079254.96484375,9082.82796547465
384,20,20125,02394644,2020125,Elgin,Elgin city,25,C1,N,N,G4110,A,504891,1809,+37.0016449,-096.2806469,795952.234375,3999.79536827821
385,20,01275,02393921,2001275,Allen,Allen city,25,C1,N,N,G4110,A,715808,0,+38.6551225,-096.1696355,1175518.98828125,4565.4468993261
386,20,55525,02396190,2055525,Peru,Peru city,25,C1,N,N,G4110,A,838203,0,+37.0803300,-096.0961381,1319385.22265625,7482.63436769029
387,20,01675,02393946,2001675,Americus,Americus city,25,C1,N,N,G4110,A,2804809,31050,+38.5063849,-096.2612819,4638044.22265625,10546.6207848618
388,20,30475,02394308,2030475,Hartford,Hartford city,25,C1,N,N,G4110,A,1025376,0,+38.3083781,-095.9566494,1667898.2734375,6969.37398394489
389,20,49875,02395174,2049875,Neosho Rapids,Neosho Rapids city,25,C1,N,N,G4110,A,1307673,16931,+38.3684814,-095.9918564,2158184.55078125,7506.7898493556
390,20,52800,02396061,2052800,Olpe,Olpe city,25,C1,N,N,G4110,A,1817669,327311,+38.2647375,-096.1650715,3484183.7265625,16857.2582087854
391,20,53225,00485635,2053225,Osawatomie,Osawatomie city,25,C5,N,N,G4110,A,13603675,238215,+38.4999302,-094.9458945,22638259.0429688,67717.3388155132
392,20,12775,02393815,2012775,Cheney,Cheney city,25,C1,N,N,G4110,A,6003920,0,+37.6352910,-097.7797163,9590151.984375,22652.3656439771
393,20,13925,02393555,2013925,Clearwater,Clearwater city,25,C1,N,N,G4110,A,5017970,0,+37.5095844,-097.4974823,7988501.31640625,32770.9302341608
394,20,15100,02393614,2015100,Colwich,Colwich city,25,C1,N,N,G4110,A,3458707,0,+37.7818100,-097.5362775,5546351.88671875,13968.3571120416
395,20,25375,02394853,2025375,Garden Plain,Garden Plain city,25,C1,N,N,G4110,A,2705088,0,+37.6627092,-097.6792751,4324045.3515625,19019.3225145324
396,20,31125,02394335,2031125,Haysville,Haysville city,25,C1,N,N,G4110,A,12146959,28697,+37.5660587,-097.3535131,19411844.671875,43320.6415685033
397,20,44200,02395820,2044200,Maize,Maize city,25,C1,N,N,G4110,A,25221606,3937,+37.7748603,-097.4591338,40443927.5234375,81155.8525990721
398,20,74750,02397178,2074750,Wallace,Wallace city,25,C1,N,N,G4110,A,1040344,0,+38.9126629,-101.5930156,1720756.78515625,5884.2950503054
399,20,00325,02393883,2000325,Admire,Admire city,25,C1,N,N,G4110,A,836798,0,+38.6409949,-096.1020087,1373671.796875,4700.79713611632
400,20,27425,02394959,2027425,Grandview Plaza,Grandview Plaza city,25,C1,N,N,G4110,A,2192799,36017,+39.0328114,-096.7927648,3698944.87890625,14010.6754828836
401,20,48900,02395122,2048900,Mount Hope,Mount Hope city,25,C1,N,N,G4110,A,3800030,64053,+37.8725658,-097.6551680,6211704.1875,18487.7483124838
402,20,74025,02397149,2074025,Viola,Viola city,25,C1,N,N,G4110,A,425880,0,+37.4828548,-097.6443933,677509.33203125,4633.98316180989
403,20,79000,00485662,2079000,Wichita,Wichita city,25,C5,Y,N,G4110,A,419555510,11737871,+37.6906377,-097.3458362,689911245.574219,512893.833853316
404,20,71000,00485655,2071000,Topeka,Topeka city,25,C5,Y,N,G4110,A,159148211,3390968,+39.0346800,-095.6948251,269765324.953125,203565.043991492
405,20,03250,02394025,2003250,Auburn,Auburn city,25,C1,N,N,G4110,A,1802825,8809,+38.9077559,-095.8155552,2996096.3046875,13158.1264663421
406,20,61400,02396438,2061400,Rossville,Rossville city,25,C1,N,N,G4110,A,1434102,0,+39.1357992,-095.9496244,2386951.77734375,8859.17023670805
407,20,09575,02393474,2009575,Burrton,Burrton city,25,C1,N,N,G4110,A,2296775,0,+38.0237192,-097.6714518,3707183.53125,9173.45585450725
408,20,46525,02395325,2046525,Milford,Milford city,25,C1,N,N,G4110,A,1480744,0,+39.1729289,-096.9104268,2467169.046875,10015.0722386379
409,20,22425,02394736,2022425,Fairview,Fairview city,25,C1,N,N,G4110,A,888211,0,+39.8395793,-095.7281011,1508348.03125,7564.1479933296
410,20,41475,02395727,2041475,Linwood,Linwood city,25,C1,N,N,G4110,A,1509673,52621,+39.0019985,-095.0371012,2590572.02734375,12842.4708698835
411,20,70800,02397035,2070800,Tonganoxie,Tonganoxie city,25,C1,N,N,G4110,A,10503335,95757,+39.1078897,-095.0790897,17627965.6054688,43081.7113428902
412,20,34300,00485599,2034300,Iola,Iola city,25,C5,N,N,G4110,A,11564992,706476,+37.9274265,-095.4006687,19755657.6484375,38832.3689188113
413,20,32575,02394397,2032575,Holcomb,Holcomb city,25,C1,N,N,G4110,A,3202719,0,+37.9859830,-100.9936188,5164159.84375,20240.422001283
414,20,19875,02394623,2019875,Edmond,Edmond city,25,C1,N,N,G4110,A,429559,0,+39.6271443,-099.8198647,725022.23828125,4177.33495193233
415,20,38400,02395627,2038400,Lane,Lane city,25,C1,N,N,G4110,A,604280,17871,+38.4400469,-095.0820908,1015662.9453125,6694.09474065708
416,20,58525,02396322,2058525,Rantoul,Rantoul city,25,C1,N,N,G4110,A,380493,995,+38.5483942,-095.1008975,624640.94921875,4139.68692939901
417,20,10675,02393748,2010675,Carlton,Carlton city,25,C1,N,N,G4110,A,440560,0,+38.6866630,-097.2931593,724132.28125,3563.45712763886
418,20,07600,02394204,2007600,Blue Mound,Blue Mound city,25,C1,N,N,G4110,A,1647683,4836,+38.0893572,-095.0099263,2672018.24609375,7084.76582530089
419,20,50150,02395182,2050150,New Albany,New Albany city,25,C1,N,N,G4110,A,478765,0,+37.5678220,-095.9362881,763362.63671875,5079.7711560318
420,20,51525,02395272,2051525,Nortonville,Nortonville city,25,C1,N,N,G4110,A,1117384,32276,+39.4154188,-095.3300418,1928759.66015625,8047.3563676617
421,20,42800,02395766,2042800,Lorraine,Lorraine city,25,C1,N,N,G4110,A,654042,0,+38.5690488,-098.3173309,1071533.4765625,4151.15395566979
422,20,02325,02393987,2002325,Arlington,Arlington city,25,C1,N,N,G4110,A,3194292,0,+37.8962896,-098.1780643,5138120.265625,13487.4668163921
423,20,09200,02393460,2009200,Buhler,Buhler city,25,C1,N,N,G4110,A,1854424,0,+38.1384261,-097.7705686,3002509.6328125,11252.4880159816
424,20,50525,00485630,2050525,Nickerson,Nickerson city,25,C5,N,N,G4110,A,3354977,0,+38.1488990,-098.0882604,5433615.6640625,13010.5584990389
425,20,56725,02396238,2056725,Plevna,Plevna city,25,C1,N,N,G4110,A,583659,0,+37.9716197,-098.3095920,940753.15625,4635.15938513291
426,20,66750,02395917,2066750,South Hutchinson,South Hutchinson city,25,C1,N,N,G4110,A,7362590,107526,+38.0230819,-097.9448449,12058702.7421875,20186.5380317407
427,20,69800,02396021,2069800,Sylvia,Sylvia city,25,C1,N,N,G4110,A,749019,0,+37.9588699,-098.4086738,1206858.80859375,6750.62439241662
428,20,03025,02394011,2003025,Athol,Athol city,25,C1,N,N,G4110,A,478902,0,+39.7661910,-098.9197481,811543.8046875,4843.88242389989
429,20,39075,00485611,2039075,Leawood,Leawood city,25,C5,N,N,G4110,A,39124169,260785,+38.9072625,-094.6252403,65134779.4023438,56773.5950946325
430,20,47425,00485625,2047425,Mission Woods,Mission Woods city,25,C5,N,N,G4110,A,230106,0,+39.0341885,-094.6106048,381901.78125,3070.40020301335
431,20,53775,00485639,2053775,Overland Park,Overland Park city,25,C5,Y,N,G4110,A,194723407,1187552,+38.8890422,-094.6905839,323811605.09375,190496.277253083
432,20,57575,00485644,2057575,Prairie Village,Prairie Village city,25,C5,N,N,G4110,A,16085162,29545,+38.9868347,-094.6361947,26710131.6992188,29509.3137066059
433,20,77525,00485661,2077525,Westwood Hills,Westwood Hills city,25,C5,N,N,G4110,A,165503,0,+39.0389049,-094.6096636,274716.43359375,2097.65994981773
434,20,09350,02393468,2009350,Burlingame,Burlingame city,25,C1,N,N,G4110,A,2289517,901,+38.7518644,-095.8357746,3771477.05859375,11832.7449291518
435,20,43350,02395792,2043350,Lyndon,Lyndon city,25,C1,N,N,G4110,A,2310586,0,+38.6119075,-095.6844244,3789975.97265625,14308.8324035769
436,20,74950,02397181,2074950,Walnut,Walnut city,25,C1,N,N,G4110,A,3817168,41133,+37.6036280,-095.0741380,6157409.77734375,10102.7829977738
437,20,35750,00485600,2035750,Junction City,Junction City city,25,C5,N,N,G4110,A,29901822,256940,+39.0272202,-096.8522711,50044561.03125,88008.0313545659
438,20,20675,02394671,2020675,Elmdale,Elmdale city,25,C1,N,N,G4110,A,427968,2514,+38.3729655,-096.6459880,701472.58984375,4860.33573989723
439,20,02175,02393974,2002175,Arcadia,Arcadia city,25,C1,N,N,G4110,A,1125301,0,+37.6412329,-094.6240276,1797749.3671875,6860.65091383069
440,20,31375,02394357,2031375,Hepler,Hepler city,25,C1,N,N,G4110,A,2587914,21813,+37.6633983,-094.9699674,4171717.23046875,8161.1730694519
441,20,43775,02395066,2043775,McFarland,McFarland city,25,C1,N,N,G4110,A,459808,20566,+39.0546911,-096.2379830,797716.8984375,3927.17302771419
442,20,38500,02395630,2038500,Langdon,Langdon city,25,C1,N,N,G4110,A,256513,0,+37.8531923,-098.3241796,412126.71484375,3385.67840407694
443,20,71800,02397069,2071800,Turon,Turon city,25,C1,N,N,G4110,A,1152573,0,+37.8075370,-098.4277502,1849533.375,6223.66881702078
444,20,19275,02394592,2019275,Earlton,Earlton city,25,C1,N,N,G4110,A,413671,0,+37.5874206,-095.4697866,659919.5234375,4205.18099072335
445,20,41325,02395715,2041325,Lincolnville,Lincolnville city,25,C1,N,N,G4110,A,581585,0,+38.4942729,-096.9614812,950855.6640625,4536.48340621448
446,20,58375,02396310,2058375,Ramona,Ramona city,25,C1,N,N,G4110,A,753864,0,+38.5978671,-097.0636991,1236054.375,4498.9923718952
447,20,20250,02394647,2020250,Elk City,Elk City city,25,C1,N,N,G4110,A,875895,2059,+37.2890833,-095.9103166,1389572.0625,6598.15788558968
448,20,33875,00485598,2033875,Independence,Independence city,25,C5,N,N,G4110,A,19863657,13181,+37.2329480,-095.7136304,31395541.1992188,58597.9922464596
449,20,48800,02395116,2048800,Moundridge,Moundridge city,25,C1,N,N,G4110,A,4063009,106264,+38.2019119,-097.5148018,6762220.3046875,30719.2415154923
450,20,02675,02393999,2002675,Ashland,Ashland city,25,C1,N,N,G4110,A,4379602,0,+37.1866610,-099.7696711,6913014.6875,15949.3111741227
451,20,47150,02395347,2047150,Minneola,Minneola city,25,C1,N,N,G4110,A,1189872,0,+37.4420293,-100.0130784,1890856.73046875,7121.48365554568
452,20,26875,00485583,2026875,Goodland,Goodland city,25,C5,N,N,G4110,A,11655263,17303,+39.3485116,-101.7138185,19545572.0078125,43739.3875542391
453,20,35975,02395491,2035975,Kanorado,Kanorado city,25,C1,N,N,G4110,A,675559,0,+39.3365416,-102.0372545,1130815.625,4411.62753969852
454,20,31475,02394363,2031475,Herndon,Herndon city,25,C1,N,N,G4110,A,816405,0,+39.9091596,-100.7864961,1389191.02734375,4928.2247871128
455,20,11175,02393772,2011175,Cawker City,Cawker City city,25,C1,N,N,G4110,A,2605958,0,+39.5095107,-098.4331070,4383641.22265625,8702.16594430114
456,20,63600,02396558,2063600,Scott City,Scott City city,25,C5,N,N,G4110,A,7026359,0,+38.4788719,-100.9030531,11482877.1367188,26928.7123268189
457,20,02850,02394006,2002850,Assaria,Assaria city,25,C1,N,N,G4110,A,604944,0,+38.6802029,-097.6041423,994143.30859375,4831.9914082085
458,20,08575,02393434,2008575,Brookville,Brookville city,25,C1,N,N,G4110,A,1489502,0,+38.7735575,-097.8645441,2454149.8671875,6581.51149542316
459,20,29250,02394263,2029250,Gypsum,Gypsum city,25,C1,N,N,G4110,A,968591,0,+38.7057752,-097.4266231,1592879.05859375,6090.18095283244
460,20,66100,02395904,2066100,Smolan,Smolan city,25,C1,N,N,G4110,A,286683,0,+38.7381156,-097.6843522,471882.1796875,3136.12681669927
461,20,39550,02395684,2039550,Leoti,Leoti city,25,C1,N,N,G4110,A,3408150,0,+38.4833880,-101.3576476,5570483.15625,20138.6500597076
462,20,04450,02394075,2004450,Bassett,Bassett city,25,C1,N,N,G4110,A,173169,78380,+37.9072060,-095.4056506,404736.82421875,4256.88950487943
463,20,20875,02394679,2020875,Elsmore,Elsmore city,25,C1,N,N,G4110,A,394222,0,+37.7941747,-095.1499128,632384.82421875,4930.44321219767
464,20,25975,02394865,2025975,Gas,Gas city,25,C1,N,N,G4110,A,1863958,1578,+37.9225701,-095.3449559,3002938.19921875,8858.08118663299
465,20,33450,00485596,2033450,Humboldt,Humboldt city,25,C5,N,N,G4110,A,3955071,26775,+37.8123917,-095.4361457,6390508.70703125,23488.1313541591
466,20,37725,00485604,2037725,La Harpe,La Harpe city,25,C5,N,N,G4110,A,2063067,3638,+37.9164459,-095.3030498,3326191.69140625,8802.3339697351
467,20,48125,02395397,2048125,Moran,Moran city,25,C1,N,N,G4110,A,1084733,0,+37.9165422,-095.1714291,1745783.36328125,6702.10868370826
468,20,36950,00485602,2036950,Kingman,Kingman city,25,C5,N,N,G4110,A,9293461,30082,+37.6477119,-098.1159929,14897688.0507813,51705.1439500081
469,20,55225,02396176,2055225,Penalosa,Penalosa city,25,C1,N,N,G4110,A,266192,0,+37.7156502,-098.3202477,426106.08984375,2994.02625695022
470,20,33500,02394449,2033500,Hunnewell,Hunnewell city,25,C1,N,N,G4110,A,1439660,0,+37.0041280,-097.4076129,2261612.23046875,6039.04307427756
471,20,66650,02395916,2066650,South Haven,South Haven city,25,C1,N,N,G4110,A,2587867,0,+37.0494951,-097.4012640,4070194.84375,8068.00061576166
472,20,26200,02394886,2026200,Geuda Springs,Geuda Springs city,25,C1,N,N,G4110,A,891538,0,+37.1114472,-097.1504469,1404478.30078125,7900.82666443936
473,20,50750,02395237,2050750,Niotaze,Niotaze city,25,C1,N,N,G4110,A,959461,4767,+37.0673465,-096.0144690,1517261.3359375,5805.37862536614
474,20,51825,02395293,2051825,Oakley,Oakley city,25,C1,N,N,G4110,A,4979992,0,+39.1234564,-100.8449730,8285961.93359375,31792.7199237714
475,20,08425,02393413,2008425,Brewster,Brewster city,25,C1,N,N,G4110,A,669358,0,+39.3630545,-101.3771297,1121281.13671875,4240.33798393981
476,20,17800,02394521,2017800,Derby,Derby city,25,C1,N,N,G4110,A,26616900,167442,+37.5595593,-097.2557858,42694064.2109375,52594.6182995604
477,20,73250,02397111,2073250,Valley Center,Valley Center city,25,C1,N,N,G4110,A,18405616,9336,+37.8336147,-097.3649497,29570812.5703125,61664.7077992469
478,20,19300,02394608,2019300,Eastborough,Eastborough city,25,C1,N,N,G4110,A,998073,1820,+37.6846230,-097.2585879,1599288.30859375,5983.45717408696
479,20,36225,02395497,2036225,Kechi,Kechi city,25,C1,N,N,G4110,A,15607411,131758,+37.7947558,-097.2664598,25267388.3320313,75861.8239703422
480,20,61875,02396457,2061875,Russell Springs,Russell Springs city,25,C1,N,N,G4110,A,1830970,0,+38.9127781,-101.1757399,3028501.1328125,7059.76203597776
481,20,13275,02393524,2013275,Cimarron,Cimarron city,25,C1,N,N,G4110,A,2984008,0,+37.8097096,-100.3453271,4788725.8515625,20076.1700338824
482,20,21400,02394694,2021400,Ensign,Ensign city,25,C1,N,N,G4110,A,753252,0,+37.6531183,-100.2328229,1203750.97265625,5839.17412873893
483,20,34225,02395426,2034225,Ingalls,Ingalls city,25,C1,N,N,G4110,A,672443,0,+37.8285784,-100.4533232,1079674.87109375,5113.9062207069
484,20,47875,02395379,2047875,Montezuma,Montezuma city,25,C1,N,N,G4110,A,2629340,0,+37.5924203,-100.4500873,4195090.83203125,15236.0044402288
485,20,09275,02393467,2009275,Burdett,Burdett city,25,C1,N,N,G4110,A,673541,0,+38.1935232,-099.5264517,1092176.515625,5709.41371151266
486,20,38700,00485608,2038700,Larned,Larned city,25,C5,N,N,G4110,A,6241409,0,+38.1833899,-099.1012605,10117894.8242188,23399.7240214815
487,20,58475,02396318,2058475,Randolph,Randolph city,25,C1,N,N,G4110,A,649432,0,+39.4288948,-096.7597527,1089941.546875,4260.54658903233
488,20,14600,00485556,2014600,Coffeyville,Coffeyville city,25,C5,Y,N,G4110,A,24524844,0,+37.0327170,-095.6515798,38575100.4257813,77238.2176839606
489,20,32175,02394380,2032175,Hill City,Hill City city,25,C1,N,N,G4110,A,2599815,0,+39.3670666,-099.8460410,4355598.36328125,12461.5456873333
490,20,80075,02397350,2080075,Winona,Winona city,25,C1,N,N,G4110,A,674768,0,+39.0617169,-101.2449267,1120763.38671875,5405.8326498101
491,20,04350,02394072,2004350,Bartlett,Bartlett city,25,C1,N,N,G4110,A,343312,187,+37.0548602,-095.2115688,540329.328125,3155.82956278631
492,20,09250,02393466,2009250,Burden,Burden city,25,C1,N,N,G4110,A,1339030,20,+37.3156094,-096.7553723,2120788.19921875,8723.85272021383
493,20,37375,02395576,2037375,Labette,Labette city,25,C1,N,N,G4110,A,579299,0,+37.2300153,-095.1835500,915441.58203125,5630.09139649923
494,20,54675,00485641,2054675,Parsons,Parsons city,25,C5,Y,N,G4110,A,27535020,223088,+37.3340128,-095.2649977,43992860.5273438,66504.3324971853
495,20,42425,02395749,2042425,Lone Elm,Lone Elm city,25,C1,N,N,G4110,A,175328,0,+38.0796281,-095.2430560,283420.7421875,2245.58900253194
496,20,10125,02393507,2010125,Cambridge,Cambridge city,25,C1,N,N,G4110,A,454154,0,+37.3177764,-096.6671658,719346.98828125,4351.00090652224
497,20,71950,02397077,2071950,Udall,Udall city,25,C1,N,N,G4110,A,1410773,0,+37.3890279,-097.1176728,2238757.6171875,10792.4071440882
498,20,03050,02394016,2003050,Atlanta,Atlanta city,25,C1,N,N,G4110,A,1239365,0,+37.4357375,-096.7669778,1969178.4375,5758.12445985621
499,20,63675,02396563,2063675,Scranton,Scranton city,25,C1,N,N,G4110,A,2789926,7575,+38.7780284,-095.7410896,4609800.4765625,12303.2770025525
500,20,64025,02396577,2064025,Severance,Severance city,25,C1,N,N,G4110,A,363092,0,+39.7668188,-095.2492356,615306.0625,3948.44931897488
501,20,10600,02393740,2010600,Carbondale,Carbondale city,25,C1,N,N,G4110,A,1893382,61502,+38.8217935,-095.6931539,3225015.73046875,9848.02091955044
502,20,45700,02395090,2045700,Melvern,Melvern city,25,C1,N,N,G4110,A,921714,0,+38.5073392,-095.6377640,1507499.9609375,7429.50314604155
503,20,53200,00485634,2053200,Osage City,Osage City city,25,C5,N,N,G4110,A,8154995,200757,+38.6340977,-095.8210021,13713871.8164063,34553.1387960677
504,20,53725,02396111,2053725,Overbrook,Overbrook city,25,C1,N,N,G4110,A,1409058,0,+38.7793674,-095.5569673,2321981.8046875,8132.95718071841
505,20,58100,02396299,2058100,Quenemo,Quenemo city,25,C1,N,N,G4110,A,1149741,0,+38.5802235,-095.5266140,1884222.48828125,7255.64847264546
506,20,71575,02397063,2071575,Troy,Troy city,25,C1,N,N,G4110,A,2524664,15607,+39.7851777,-095.0940885,4307029.5,16285.9128232951
507,20,77850,02397301,2077850,White Cloud,White Cloud city,25,C1,N,N,G4110,A,1875959,0,+39.9743420,-095.2990393,3198202.6640625,8421.60287089046
508,20,39475,02395680,2039475,Leona,Leona city,25,C1,N,N,G4110,A,163126,0,+39.7859860,-095.3213672,276591.8203125,2350.22558891238
509,20,77250,02397285,2077250,Westphalia,Westphalia city,25,C1,N,N,G4110,A,514039,2111,+38.1821838,-095.4903506,836690.6640625,5144.66306524226
510,20,14950,02393603,2014950,Colony,Colony city,25,C1,N,N,G4110,A,1253544,1281,+38.0728386,-095.3622249,2027999.890625,9679.43179598692
511,20,28350,02394972,2028350,Greeley,Greeley city,25,C1,N,N,G4110,A,890358,15155,+38.3673735,-095.1263493,1475320.20703125,8478.76822955845
512,20,36875,02395535,2036875,Kincaid,Kincaid city,25,C1,N,N,G4110,A,1295154,2166,+38.0807319,-095.1561571,2097247.5703125,6186.23875774947
513,20,48275,02395402,2048275,Morland,Morland city,25,C1,N,N,G4110,A,1238690,0,+39.3489987,-100.0743517,2074173.046875,8604.84425415881
514,20,47075,00485622,2047075,Minneapolis,Minneapolis city,25,C5,N,N,G4110,A,4747884,0,+39.1242886,-097.6996554,7899929.42578125,19577.7446416833
515,20,63200,02396546,2063200,Savonburg,Savonburg city,25,C1,N,N,G4110,A,498569,582,+37.7491356,-095.1418340,799733.07421875,5121.60934137024
516,20,52750,02396059,2052750,Olmitz,Olmitz city,25,C1,N,N,G4110,A,410676,0,+38.5164445,-098.9366436,671843,3410.47738152415
517,20,30725,02394326,2030725,Haven,Haven city,25,C1,N,N,G4110,A,2011919,0,+37.9016325,-097.7830935,3236711.58984375,7941.17004435632
518,20,54700,02396158,2054700,Partridge,Partridge city,25,C1,N,N,G4110,A,803399,0,+37.9668737,-098.0922595,1294759.19140625,5211.21731484955
519,20,57700,02396275,2057700,Pretty Prairie,Pretty Prairie city,25,C1,N,N,G4110,A,1491783,0,+37.7800631,-098.0224824,2392094.52734375,11625.4203403145
520,20,15200,00485559,2015200,Concordia,Concordia city,25,C5,N,N,G4110,A,11664681,0,+39.5668653,-097.6467674,19654055.3007813,48466.5529114188
521,20,26375,02394908,2026375,Glasco,Glasco city,25,C1,N,N,G4110,A,858766,0,+39.3610003,-097.8369634,1438482.375,6705.82953274565
522,20,46950,02395337,2046950,Miltonvale,Miltonvale city,25,C1,N,N,G4110,A,1941162,0,+39.3495714,-097.4523018,3250514.86328125,11760.42812693
523,20,34975,02395454,2034975,Jamestown,Jamestown city,25,C1,N,N,G4110,A,758842,0,+39.5995477,-097.8612553,1279781.734375,4993.62788552952
524,20,00825,02393900,2000825,Albert,Albert city,25,C1,N,N,G4110,A,609864,0,+38.4539591,-099.0111290,995991.625,4097.45165627225
525,20,13425,02393529,2013425,Claflin,Claflin city,25,C1,N,N,G4110,A,871850,0,+38.5245769,-098.5368547,1426614.94140625,7219.50449323749
526,20,20425,00485568,2020425,Ellinwood,Ellinwood city,25,C5,N,N,G4110,A,3422413,0,+38.3573590,-098.5836565,5574448.82421875,19703.4255010875
527,20,28300,00485584,2028300,Great Bend,Great Bend city,25,C5,Y,N,G4110,A,27190354,345852,+38.3597921,-098.7995137,44853690.5351563,106839.180604844
528,20,27200,02394946,2027200,Grainfield,Grainfield city,25,C1,N,N,G4110,A,1197861,0,+39.1142827,-100.4683693,1992533.9765625,5934.65663791371
529,20,28900,02394253,2028900,Grinnell,Grinnell city,25,C1,N,N,G4110,A,1273862,0,+39.1266168,-100.6310715,2119695.70703125,7599.53733166
530,20,54400,02396143,2054400,Park,Park city,25,C1,N,N,G4110,A,815841,0,+39.1117862,-100.3613619,1356990.546875,5681.73136035969
531,20,32550,00485593,2032550,Hoisington,Hoisington city,25,C5,N,N,G4110,A,3003965,0,+38.5180628,-098.7773753,4914537.13671875,16789.0329903788
532,20,17750,02394518,2017750,Denton,Denton city,25,C1,N,N,G4110,A,376736,0,+39.7319330,-095.2695359,637782.234375,4316.92071391889
533,20,69525,02396010,2069525,Susank,Susank city,25,C1,N,N,G4110,A,256927,0,+38.6406774,-098.7744906,421762.10546875,2664.22992022883
534,20,06000,02394132,2006000,Benedict,Benedict city,25,C1,N,N,G4110,A,378672,0,+37.6268832,-095.7434829,604722.0078125,4089.92308244086
535,20,54875,02396165,2054875,Pawnee Rock,Pawnee Rock city,25,C1,N,N,G4110,A,730094,0,+38.2649409,-098.9823499,1186191.04296875,4771.12664033844
536,20,01350,02393926,2001350,Alma,Alma city,25,C1,N,N,G4110,A,1514197,37583,+39.0156813,-096.2870964,2574088.89453125,12426.0266060125
537,20,01575,02393931,2001575,Alta Vista,Alta Vista city,25,C1,N,N,G4110,A,903609,0,+38.8629419,-096.4888377,1492524.453125,7039.31700922098
538,20,21650,02394701,2021650,Eskridge,Eskridge city,25,C1,N,N,G4110,A,1340066,612,+38.8595085,-096.1052616,2214227.3515625,7077.51115301192
539,20,30575,02394319,2030575,Harveyville,Harveyville city,25,C1,N,N,G4110,A,330187,45,+38.7891166,-095.9625232,544338.05078125,5587.06958861242
540,20,54950,02396166,2054950,Paxico,Paxico city,25,C1,N,N,G4110,A,375120,0,+39.0689043,-096.1670211,623186.3515625,3699.15039123624
541,20,79250,02397313,2079250,Willard,Willard city,25,C1,N,N,G4110,A,282547,0,+39.0940609,-095.9429165,469718.10546875,3249.16541597044
542,20,44500,02395839,2044500,Maple Hill,Maple Hill city,25,C1,N,N,G4110,A,628317,0,+39.0854232,-096.0280154,1044307,5130.72836443565
543,20,16675,02393692,2016675,Cullison,Cullison city,25,C1,N,N,G4110,A,447942,0,+37.6303207,-098.9052664,715413.21875,4509.47329313438
544,20,34625,02395445,2034625,Iuka,Iuka city,25,C1,N,N,G4110,A,1701140,0,+37.7290059,-098.7327175,2724076.89453125,9101.09717726641
545,20,57625,00485645,2057625,Pratt,Pratt city,25,C5,N,N,G4110,A,19974343,317877,+37.6985762,-098.7659356,32448729.1953125,47107.4345921873
546,20,02375,02393988,2002375,Arma,Arma city,25,C1,N,N,G4110,A,2936980,61291,+37.5427753,-094.7018073,4777417.640625,12799.7821721721
547,20,12825,02393818,2012825,Cherokee,Cherokee city,25,C1,N,N,G4110,A,1854476,0,+37.3450410,-094.8213375,2939441.63671875,11544.0560855368
548,20,56025,00485643,2056025,Pittsburg,Pittsburg city,25,C5,Y,N,G4110,A,33866658,248592,+37.4125762,-094.6983397,54171705.625,69500.2138353567
549,20,63750,02396569,2063750,Sedan,Sedan city,25,C1,N,N,G4110,A,2126274,1281,+37.1284565,-096.1848251,3353124.45703125,11033.2433225103
550,20,26300,00485582,2026300,Girard,Girard city,25,C5,N,N,G4110,A,6046569,96993,+37.5088545,-094.8455199,9780353.59765625,26035.1751883876
551,20,43725,02395063,2043725,McCune,McCune city,25,C1,N,N,G4110,A,822647,0,+37.3538039,-095.0192033,1304238.16015625,6776.69082679044
552,20,49025,00485626,2049025,Mulberry,Mulberry city,25,C5,N,N,G4110,A,1219712,0,+37.5560820,-094.6234418,1944149.3046875,10100.8906125448
553,20,13675,02393549,2013675,Clayton,Clayton city,25,C1,N,N,G4110,A,1089443,0,+39.7368662,-100.1764841,1844601.41796875,5597.08456034633
554,20,35375,02395466,2035375,Jennings,Jennings city,25,C1,N,N,G4110,A,694023,0,+39.6805474,-100.2932075,1173183.62890625,4821.52126163105
555,20,50925,02395246,2050925,Norcatur,Norcatur city,25,C1,N,N,G4110,A,2578463,0,+39.8347528,-100.1888042,4378092.46484375,8437.41452500423
556,20,52000,00485632,2052000,Oberlin,Oberlin city,25,C5,N,N,G4110,A,4946631,0,+39.8230396,-100.5307374,8396281.671875,14788.2826629685
557,20,01600,02393938,2001600,Alton,Alton city,25,C1,N,N,G4110,A,801416,0,+39.4678040,-098.9486390,1346509.375,5225.63180009038
558,20,53375,02396095,2053375,Oskaloosa,Oskaloosa city,25,C1,N,N,G4110,A,2573882,13242,+39.2159883,-095.3147127,4315806.59765625,10929.1712710544
559,20,01800,02393956,2001800,Andover,Andover city,25,C1,N,N,G4110,A,26955363,141617,+37.6871655,-097.1307531,43342677.7929688,75872.2469533558
