FID,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape__Area,Shape__Length
248,20,44150,02395816,2044150,Mahaska,Mahaska city,25,C1,N,N,G4110,A,576475,0,+39.9872691,-097.3536095,983160.98828125,5405.29332674073
249,20,32650,02394403,2032650,Hollenberg,Hollenberg city,25,C1,N,N,G4110,A,190295,0,+39.9810497,-096.9919143,324482.4140625,3049.73427841985
250,20,15325,02393624,2015325,Conway Springs,Conway Springs city,25,C1,N,N,G4110,A,2555879,0,+37.3898615,-097.6429417,4056014.30859375,20019.1213417036
251,20,45275,02395051,2045275,Mayfield,Mayfield city,25,C1,N,N,G4110,A,767072,0,+37.2630879,-097.5404017,1213217.4921875,6357.95703030407
252,20,46450,02395321,2046450,Milan,Milan city,25,C1,N,N,G4110,A,342595,0,+37.2574743,-097.6739981,541776.5390625,4480.51163515061
253,20,53850,02396118,2053850,Oxford,Oxford city,25,C1,N,N,G4110,A,2346904,2198,+37.2737039,-097.1693488,3716481.58984375,9668.02598969142
254,20,09225,02393464,2009225,Bunker Hill,Bunker Hill city,25,C1,N,N,G4110,A,3591018,0,+38.8752981,-098.6989376,5933474.32421875,10386.542478359
255,20,54325,02396140,2054325,Paradise,Paradise city,25,C1,N,N,G4110,A,638818,0,+39.1145254,-098.9184437,1062628.03515625,4151.88545047253
256,20,74575,02397170,2074575,Waldo,Waldo city,25,C1,N,N,G4110,A,973899,0,+39.1200256,-098.7983251,1620263.109375,5204.59052908771
257,20,76475,00485658,2076475,Wellington,Wellington city,25,C5,N,N,G4110,A,19712704,2312939,+37.2781090,-097.4066719,34835941.9414063,77213.5424181694
258,20,31100,00485589,2031100,Hays,Hays city,25,C5,Y,N,G4110,A,22385624,0,+38.8822267,-099.3222253,36995145.7226563,88476.2686876451
259,20,33150,02394420,2033150,Horace,Horace city,25,C1,N,N,G4110,A,633267,0,+38.4768413,-101.7904988,1034861.671875,4170.23991420224
260,20,25750,02394855,2025750,Garfield,Garfield city,25,C1,N,N,G4110,A,1392395,0,+38.0770541,-099.2445416,2250688.85546875,6234.36005604955
261,20,38650,00485607,2038650,Lansing,Lansing city,25,C5,N,N,G4110,A,31878600,260437,+39.2425924,-094.8963204,53654764.7773438,72952.8663192073
262,20,17850,00485562,2017850,De Soto,De Soto city,25,C5,N,N,G4110,A,29151068,512702,+38.9723059,-094.9511411,49141902.4140625,75612.5707438399
263,20,04225,02394062,2004225,Barnard,Barnard city,25,C1,N,N,G4110,A,577264,0,+39.1891709,-098.0442515,962257.3828125,4672.70096258517
264,20,27125,02394937,2027125,Gove City,Gove City city,25,C1,N,N,G4110,A,628363,0,+38.9594616,-100.4870707,1040693.78125,4095.86483842694
265,20,74625,02397172,2074625,Waldron,Waldron city,25,C1,N,N,G4110,A,806086,0,+37.0017531,-098.1825455,1266226.30859375,4890.8164156666
266,20,01975,00485540,2001975,Anthony,Anthony city,25,C5,N,N,G4110,A,8345180,458153,+37.1585331,-098.0427758,13885539.6875,53100.8274462739
267,20,03100,02394019,2003100,Attica,Attica city,25,C1,N,N,G4110,A,1642237,0,+37.2426049,-098.2276237,2596021.34765625,10990.2062304811
268,20,17000,02393717,2017000,Danville,Danville city,25,C1,N,N,G4110,A,214290,0,+37.2859516,-097.8920709,339130.26953125,2451.19515126764
269,20,30175,00485587,2030175,Harper,Harper city,25,C5,N,N,G4110,A,4203447,0,+37.2850723,-098.0275921,6652156.9375,20668.7781016927
270,20,07775,02394208,2007775,Bluff City,Bluff City city,25,C1,N,N,G4110,A,1310530,0,+37.0761158,-097.8747005,2062634.6640625,5751.79881496237
271,20,29700,02394279,2029700,Hamlin,Hamlin city,25,C1,N,N,G4110,A,226466,0,+39.9155129,-095.6275395,385425.17578125,2824.01512346107
272,20,13625,00485555,2013625,Clay Center,Clay Center city,25,C5,N,N,G4110,A,8264003,5894,+39.3811819,-097.1273715,13860533.7460938,40490.8537658123
273,20,51700,02395284,2051700,Oak Hill,Oak Hill city,25,C1,N,N,G4110,A,131690,0,+39.2465436,-097.3429542,219874.609375,2291.1666237109
274,20,73950,02397147,2073950,Vining,Vining city,25,C1,N,N,G4110,A,553959,0,+39.5673187,-097.2936134,933389.66015625,3884.19220570656
275,20,54450,02396145,2054450,Park City,Park City city,25,C1,N,N,G4110,A,25596482,52365,+37.8083847,-097.3252870,41161526.828125,80048.4672636188
276,20,05825,02394124,2005825,Belpre,Belpre city,25,C1,N,N,G4110,A,1064562,0,+37.9506691,-099.0998216,1714898.69140625,5694.93071097723
277,20,37075,00485603,2037075,Kinsley,Kinsley city,25,C5,N,N,G4110,A,3355667,0,+37.9223768,-099.4114069,5401508.7265625,11656.5367866892
278,20,39725,02395691,2039725,Lewis,Lewis city,25,C1,N,N,G4110,A,814836,0,+37.9370283,-099.2546706,1312130.19921875,4929.92357797168
279,20,43950,00485617,2043950,McPherson,McPherson city,25,C5,Y,N,G4110,A,19280820,129080,+38.3712144,-097.6605419,31627202.6132813,55139.1179356907
280,20,79850,02397340,2079850,Windom,Windom city,25,C1,N,N,G4110,A,521540,0,+38.3841335,-097.9101651,850112.546875,3692.07809070923
281,20,28800,02394247,2028800,Grenola,Grenola city,25,C1,N,N,G4110,A,1204198,10517,+37.3502887,-096.4496706,1925667.34765625,7301.36456825591
282,20,37575,02395564,2037575,La Cygne,La Cygne city,25,C1,N,N,G4110,A,3957615,51415,+38.3478335,-094.7617931,6528254.47265625,17075.4731116431
283,20,41465,02395723,2041465,Linn Valley,Linn Valley city,25,C1,N,N,G4110,A,7662163,654397,+38.3753855,-094.7108989,13552928.171875,18721.919468111
284,20,48750,02395114,2048750,Mound City,Mound City city,25,C1,N,N,G4110,A,2993197,517706,+38.1395318,-094.8212455,5683630.8828125,22755.9712467113
285,20,54500,02396149,2054500,Parker,Parker city,25,C1,N,N,G4110,A,727467,370,+38.3286456,-094.9891788,1184580.65625,7219.96521183357
286,20,56450,02396236,2056450,Pleasanton,Pleasanton city,25,C1,N,N,G4110,A,5394665,657301,+38.1794166,-094.7053419,9809617.81640625,41701.4138161561
